      t         y1        y2      check
  16.95000  -2.11387   0.15275   4.49178
  17.00000  -2.10623   0.48304   4.66955
  17.05000  -2.08208   0.81214   4.99463
  17.10000  -2.04148   1.13746   5.46144
  17.15000  -1.98460   1.45644   6.05987
  17.20000  -1.91178   1.76654   6.77556
  17.25000  -1.82345   2.06525   7.59025
  17.30000  -1.72019   2.35017   8.48234
  17.35000  -1.60268   2.61895   9.42747
  17.40000  -1.47173   2.86937  10.39926
  17.45000  -1.32827   3.09932  11.37010
  17.50000  -1.17330   3.30687  12.31200
  17.55000  -1.00796   3.49019  13.19743
  17.60000  -0.83345   3.64769  14.00026
  17.65000  -0.65106   3.77791  14.69651
  17.70000  -0.46217   3.87964  15.26522
  17.75000  -0.26818   3.95186  15.68909
  17.80000  -0.07059   3.99376  15.95510
  17.85000   0.12910   4.00479  16.05501
  17.90000   0.32934   3.98462  15.98565
  17.95000   0.52857   3.93316  15.74913
  18.00000   0.72522   3.85057  15.35285
  18.05000   0.91775   3.73726  14.80935
  18.10000   1.10462   3.59386  14.13598
  18.15000   1.28431   3.42126  13.35447
  18.20000   1.45537   3.22059  12.49029
  18.25000   1.61640   2.99318  11.57191
  18.30000   1.76606   2.74062  10.62998
  18.35000   1.90309   2.46468   9.69638
  18.40000   2.02632   2.16732   8.80326
  18.45000   2.13469   1.85070   7.98201
  18.50000   2.22723   1.51716   7.26231
  18.55000   2.30308   1.16915   6.67112
  18.60000   2.36154   0.80930   6.23184
  18.65000   2.40201   0.44031   5.96351
  18.70000   2.42402   0.06499   5.88011
  18.75000   2.42727  -0.31376   5.99009
  18.80000   2.41158  -0.69302   6.29601
  18.85000   2.37693  -1.06983   6.79435
  18.90000   2.32344  -1.44123   7.47551
  18.95000   2.25138  -1.80426   8.32408
  19.00000   2.16117  -2.15604   9.31916
  19.05000   2.05336  -2.49372  10.43497
  19.10000   1.92868  -2.81456  11.64156
  19.15000   1.78795  -3.11592  12.90572
  19.20000   1.63215  -3.39529  14.19189
  19.25000   1.46239  -3.65031  15.46335
  19.30000   1.27987  -3.87881  16.68323
  19.35000   1.08593  -4.07879  17.81577
  19.40000   0.88199  -4.24847  18.82738
  19.45000   0.66957  -4.38628  19.68776
  19.50000   0.45026  -4.49090  20.37090
  19.55000   0.22571  -4.56125  20.85595
  19.60000  -0.00235  -4.59652  21.12799
  19.65000  -0.23218  -4.59615  21.17851
  19.70000  -0.46198  -4.55987  21.00588
  19.75000  -0.68998  -4.48769  20.61542
  19.80000  -0.91436  -4.37988  20.01940
  19.85000  -1.13336  -4.23701  19.23675
  19.90000  -1.34521  -4.05992  18.29256
  19.95000  -1.54820  -3.84974  17.21739
  20.00000  -1.74069  -3.60783  16.04643
  20.05000  -1.92108  -3.33585  14.81842
  20.10000  -2.08787  -3.03568  13.57455
  20.15000  -2.23966  -2.70945  12.35716
  20.20000  -2.37513  -2.35950  11.20848
  20.25000  -2.49310  -1.98839  10.16925
  20.30000  -2.59252  -1.59884   9.27746
  20.35000  -2.67247  -1.19376   8.56713
  20.40000  -2.73215  -0.77618   8.06712
  20.45000  -2.77096  -0.34929   7.80023
  20.50000  -2.78843   0.08368   7.78233
  20.55000  -2.78424   0.51937   8.02175
  20.60000  -2.75827   0.95441   8.51897
  20.65000  -2.71055   1.38539   9.26640
  20.70000  -2.64128   1.80891  10.24855
  20.75000  -2.55084   2.22161  11.44234
  20.80000  -2.43976   2.62018  12.81777
  20.85000  -2.30875   3.00139  14.33869
  20.90000  -2.15868   3.36214  15.96385
  20.95000  -1.99057   3.69943  17.64816
  21.00000  -1.80560   4.01046  19.34396
  21.05000  -1.60508   4.29258  21.00253
  21.10000  -1.39045   4.54338  22.57561
  21.15000  -1.16328   4.76063  24.01685
  21.20000  -0.92525   4.94240  25.28336
  21.25000  -0.67813   5.08697  26.33708
  21.30000  -0.42378   5.19292  27.14604
  21.35000  -0.16414   5.25914  27.68549
  21.40000   0.09882   5.28479  27.93872
  21.45000   0.36306   5.26934  27.89780
  21.50000   0.62653   5.21262  27.56390
  21.55000   0.88716   5.11472  26.94742
  21.60000   1.14290   4.97610  26.06780
  21.65000   1.39170   4.79753  24.95308
  21.70000   1.63158   4.58007  23.63910
  21.75000   1.86058   4.32514  22.16858
  21.80000   2.07684   4.03442  20.58982
  21.85000   2.27856   3.70992  18.95531
  21.90000   2.46405   3.35389  17.32015
  21.95000   2.63175   2.96888  15.74037
  22.00000   2.78019   2.55767  14.27116
  22.05000   2.90808   2.12327  12.96517
  22.10000   3.01424   1.66888  11.87080
  22.15000   3.09768   1.19791  11.03062
  22.20000   3.15758   0.71389  10.47995
  22.25000   3.19327   0.22052  10.24563
  22.30000   3.20430  -0.27843  10.34506
  22.35000   3.19038  -0.77910  10.78551
  22.40000   3.15142  -1.27760  11.56372
  22.45000   3.08754  -1.77001  12.66585
  22.50000   2.99904  -2.25244  14.06772
  22.55000   2.88642  -2.72104  15.73546
  22.60000   2.75037  -3.17204  17.62637
  22.65000   2.59177  -3.60178  19.69011
  22.70000   2.41168  -4.00675  21.87022
  22.75000   2.21134  -4.38357  24.10574
  22.80000   1.99216  -4.72909  26.33305
  22.85000   1.75571  -5.04037  28.48784
  22.90000   1.50369  -5.31470  30.50711
  22.95000   1.23795  -5.54965  32.33116
  23.00000   0.96047  -5.74308  33.90549
  23.05000   0.67332  -5.89316  35.18263
  23.10000   0.37866  -5.99836  36.12372
  23.15000   0.07874  -6.05753  36.69983
  23.20000  -0.22413  -6.06983  36.89307
  23.25000  -0.52763  -6.03481  36.69731
  23.30000  -0.82937  -5.95237  36.11853
  23.35000  -1.12698  -5.82278  35.17485
  23.40000  -1.41812  -5.64669  33.89615
  23.45000  -1.70046  -5.42511  32.32333
  23.50000  -1.97171  -5.15941  30.50716
  23.55000  -2.22968  -4.85133  28.50688
  23.60000  -2.47225  -4.50294  26.38850
  23.65000  -2.69740  -4.11665  24.22277
  23.70000  -2.90323  -3.69518  22.08312
  23.75000  -3.08799  -3.24155  20.04335
  23.80000  -3.25007  -2.75906  18.17532
  23.85000  -3.38802  -2.25123  16.54672
  23.90000  -3.50058  -1.72185  15.21885
  23.95000  -3.58667  -1.17489  14.24459
